goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet4
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockQueryRange/{}_|_min_over_time(duration)_by_(span.http.status_code)/5                             	       2	 517815430 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1203557 spans/s
BenchmarkBackendBlockQueryRange/{}_|_min_over_time(duration)_by_(span.http.status_code)/5                             	       2	 518449550 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1202085 spans/s
BenchmarkBackendBlockQueryRange/{}_|_min_over_time(duration)_by_(span.http.status_code)/5                             	       2	 525235324 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1186554 spans/s
BenchmarkBackendBlockQueryRange/{}_|_min_over_time(duration)_by_(span.http.status_code)/5                             	       2	 534994540 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1164910 spans/s
BenchmarkBackendBlockQueryRange/{}_|_min_over_time(duration)_by_(span.http.status_code)/5                             	       2	 513305214 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1214132 spans/s
BenchmarkBackendBlockQueryRange/{}_|_min_over_time(duration)_by_(span.http.status_code)/5                             	       2	 535093774 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1164693 spans/s
BenchmarkBackendBlockQueryRange/{}_|_min_over_time(duration)_by_(span.http.status_code)/5                             	       2	 538829270 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1156619 spans/s
BenchmarkBackendBlockQueryRange/{}_|_min_over_time(duration)_by_(span.http.status_code)/5                             	       2	 530867971 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1173965 spans/s
BenchmarkBackendBlockQueryRange/{}_|_min_over_time(duration)_by_(span.http.status_code)/5                             	       2	 554012812 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1124920 spans/s
BenchmarkBackendBlockQueryRange/{_name_!=_nil_}_|_compare({status=error})/5                                           	       1	9353437581 ns/op	        43.85 MB_IO/op	    623220 spans/op	     66630 spans/s
BenchmarkBackendBlockQueryRange/{_name_!=_nil_}_|_compare({status=error})/5                                           	       1	8939929446 ns/op	        43.85 MB_IO/op	    623220 spans/op	     69712 spans/s
BenchmarkBackendBlockQueryRange/{_name_!=_nil_}_|_compare({status=error})/5                                           	       1	8944774506 ns/op	        43.85 MB_IO/op	    623220 spans/op	     69674 spans/s
BenchmarkBackendBlockQueryRange/{_name_!=_nil_}_|_compare({status=error})/5                                           	       1	8990767769 ns/op	        43.85 MB_IO/op	    623220 spans/op	     69318 spans/s
BenchmarkBackendBlockQueryRange/{_name_!=_nil_}_|_compare({status=error})/5                                           	       1	9099441041 ns/op	        43.85 MB_IO/op	    623220 spans/op	     68490 spans/s
BenchmarkBackendBlockQueryRange/{_name_!=_nil_}_|_compare({status=error})/5                                           	       1	9175511027 ns/op	        43.85 MB_IO/op	    623220 spans/op	     67922 spans/s
BenchmarkBackendBlockQueryRange/{_name_!=_nil_}_|_compare({status=error})/5                                           	       1	9282627850 ns/op	        43.85 MB_IO/op	    623220 spans/op	     67138 spans/s
BenchmarkBackendBlockQueryRange/{_name_!=_nil_}_|_compare({status=error})/5                                           	       1	9259996407 ns/op	        43.85 MB_IO/op	    623220 spans/op	     67302 spans/s
BenchmarkBackendBlockQueryRange/{_name_!=_nil_}_|_compare({status=error})/5                                           	       1	9552925938 ns/op	        43.85 MB_IO/op	    623220 spans/op	     65239 spans/s
BenchmarkBackendBlockQueryRange/{_name_!=_nil_}_|_compare({status=error})/5                                           	       1	9011936575 ns/op	        43.85 MB_IO/op	    623220 spans/op	     69155 spans/s
PASS
ok  	github.com/grafana/tempo/tempodb/encoding/vparquet4	341.774s
